id,OpponentName,start,end,PersonId,"Time (seconds)",id,Gender,"Age Group","Favorite Activity",Height,zipcode,state,Event
44,"Fast animal","2018-08-25 16:10:40.994 +00:00","2018-08-25 16:10:45.470 +00:00",44,4.0,44,other,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
45,"Fast animal","2018-08-25 16:13:36.286 +00:00","2018-08-25 16:13:39.694 +00:00",45,3.0,45,female,Pre-Teen,Gaming,48,47408,IN,"Makevention 2018"
48,"Slow person","2018-08-25 16:21:32.040 +00:00","2018-08-25 16:21:35.690 +00:00",48,4.0,48,other,Retired,Other,37,47408,IN,"Makevention 2018"
49,"Slow person","2018-08-25 16:21:58.476 +00:00","2018-08-25 16:22:02.550 +00:00",49,4.0,49,other,Pre-Teen,Other,37,47408,IN,"Makevention 2018"
51,"Slow person","2018-08-25 17:00:38.318 +00:00","2018-08-25 17:00:44.470 +00:00",51,6.0,51,male,Retired,Other,30,47408,IN,"Makevention 2018"
52,"Slow person","2018-08-25 17:01:18.044 +00:00","2018-08-25 17:01:21.026 +00:00",52,3.0,52,other,Pre-Teen,Gaming,58,47408,IN,"Makevention 2018"
53,"Fast animal","2018-08-25 17:01:52.404 +00:00","2018-08-25 17:02:01.788 +00:00",53,9.0,53,male,Pre-Teen,Cooking,56,47408,IN,"Makevention 2018"
54,"Fast animal","2018-08-25 17:02:41.150 +00:00","2018-08-25 17:02:44.196 +00:00",54,3.0,54,female,Teen,Art,64,47408,IN,"Makevention 2018"
55,"Fast animal","2018-08-25 17:03:34.320 +00:00","2018-08-25 17:03:37.242 +00:00",55,3.0,55,other,Pre-Teen,Gaming,1234567890,47408,IN,"Makevention 2018"
65,"Fast animal","2018-08-25 17:14:33.604 +00:00","2018-08-25 17:14:35.990 +00:00",65,2.0,65,male,Retired,Other,67,47408,IN,"Makevention 2018"
67,"Fast animal","2018-08-25 17:16:50.812 +00:00","2018-08-25 17:16:54.856 +00:00",67,4.0,67,other,Pre-Teen,Gaming,56,47408,IN,"Makevention 2018"
80,"Fast animal","2018-08-25 17:57:12.250 +00:00","2018-08-25 17:57:19.172 +00:00",80,7.0,80,male,Adult,Gaming,52,47408,IN,"Makevention 2018"
81,"Fast animal","2018-08-25 17:57:41.402 +00:00","2018-08-25 17:57:44.968 +00:00",81,4.0,81,female,Adult,Other,52,47408,IN,"Makevention 2018"
86,"Fast animal","2018-08-25 18:38:33.008 +00:00",,86,,86,other,Adult,Other,66,47408,IN,"Makevention 2018"
88,"Slow person","2018-08-25 18:40:54.814 +00:00","2018-08-25 18:41:01.286 +00:00",88,6.0,88,female,Adult,Other,66,47408,IN,"Makevention 2018"
94,"Fast animal","2018-08-25 19:36:51.876 +00:00",,94,,94,female,Pre-Teen,Cooking,64,47408,IN,"Makevention 2018"
95,"Slow animal","2018-08-25 19:37:31.128 +00:00","2018-08-25 19:37:33.902 +00:00",95,3.0,95,other,Pre-Teen,Other,64,47408,IN,"Makevention 2018"
68,"Fast animal","2018-08-25 17:18:32.936 +00:00","2018-08-25 17:18:36.808 +00:00",68,4.0,68,male,Retired,Gaming,1,47581,IN,"Makevention 2018"
69,"Fast person","2018-08-25 17:19:43.608 +00:00","2018-08-25 17:19:47.366 +00:00",69,4.0,69,female,Adult,Gaming,97,47586,IN,"Makevention 2018"
66,"Cartoon character","2018-08-25 17:16:13.990 +00:00","2018-08-25 17:16:15.952 +00:00",66,2.0,66,other,Teen,Sports,7,48768,MI,"Makevention 2018"
27,"Fast person","2018-08-25 15:31:38.640 +00:00","2018-08-25 15:31:42.290 +00:00",27,4.0,27,other,Adult,Art,72,88001,NM,"Makevention 2018"
