id,opponent,opponentName,start,end,icon,color,age_group,favoriteActivity,height,zipcode,state,latitude,longitude,runTime
39,fast-animal,Fast animal,2018-08-25T16:05:34.276Z,2018-08-25T16:05:37.652Z,star,#0707D2,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,3.376
38,cartoon-character,Cartoon character,2018-08-25T16:04:46.424Z,2018-08-25T16:04:47.800Z,triangle-up,#9B180F,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,1.376
37,fast-person,Fast person,2018-08-25T16:03:59.952Z,2018-08-25T16:04:05.512Z,star,#0707D2,Adult,Cooking,67,47401,IN,39.1401,-86.5083,5.56
36,cartoon-character,Cartoon character,2018-08-25T16:03:04.492Z,2018-08-25T16:03:10.202Z,square,#D372D2,Teen,Gaming,68,47403,IN,39.1263,-86.5769,5.71
35,cartoon-character,Cartoon character,2018-08-25T15:59:51.696Z,2018-08-25T15:59:55.822Z,diamond,#D39827,Teen,Sports,47,47403,IN,39.1263,-86.5769,4.126
34,fast-animal,Fast animal,2018-08-25T15:58:51.120Z,2018-08-25T15:58:55.820Z,triangle-up,#D36E44,Adult,Other,48,47403,IN,39.1263,-86.5769,4.7
33,fast-animal,Fast animal,2018-08-25T15:54:57.584Z,2018-08-25T15:55:01.428Z,square,#D36E44,Adult,Gaming,70,47401,IN,39.1401,-86.5083,3.844
32,slow-animal,Slow animal,2018-08-25T15:53:33.056Z,2018-08-25T15:53:36.476Z,square,#8E1BCE,Teen,Cooking,66,47401,IN,39.1401,-86.5083,3.42
31,fast-animal,Fast animal,2018-08-25T15:53:01.886Z,2018-08-25T15:53:04.938Z,diamond,#D30706,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,3.052
30,fast-animal,Fast animal,2018-08-25T15:52:28.266Z,2018-08-25T15:52:35.580Z,cross,#D30706,Teen,Cooking,66,47401,IN,39.1401,-86.5083,7.314
29,fast-animal,Fast animal,2018-08-25T15:39:07.102Z,2018-08-25T15:39:13.436Z,star,#D39827,Adult,Gaming,49,47404,IN,39.195,-86.5757,6.334
28,slow-person,Slow person,2018-08-25T15:38:19.632Z,2018-08-25T15:38:34.516Z,triangle-up,#33820D,Kid,Gaming,48,47404,IN,39.195,-86.5757,14.884
